Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
EP,Pesticides,183,Romania,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.72,Fc,Calculated data,,
EP,Pesticides,185,Russian Federation,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.21,Fc,Calculated data,,
EP,Pesticides,184,Rwanda,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.45,Fc,Calculated data,,
EP,Pesticides,188,Saint Kitts and Nevis,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.31,Fc,Calculated data,,
EP,Pesticides,189,Saint Lucia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,19.6,Fc,Calculated data,,
EP,Pesticides,244,Samoa,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.23,Fc,Calculated data,,
EP,Pesticides,194,Saudi Arabia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.5,Fc,Calculated data,,
EP,Pesticides,195,Senegal,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.19,Fc,Calculated data,,
EP,Pesticides,196,Seychelles,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,12.1,Fc,Calculated data,,
EP,Pesticides,199,Slovakia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.11,Fc,Calculated data,,
EP,Pesticides,198,Slovenia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4.86,Fc,Calculated data,,
EP,Pesticides,202,South Africa,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.08,Fc,Calculated data,,
EP,Pesticides,203,Spain,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.63,Fc,Calculated data,,
EP,Pesticides,38,Sri Lanka,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.84,Fc,Calculated data,,
EP,Pesticides,276,Sudan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.12,Fc,Calculated data,,
EP,Pesticides,207,Suriname,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,8.68,Fc,Calculated data,,
EP,Pesticides,210,Sweden,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.63,Fc,Calculated data,,
EP,Pesticides,211,Switzerland,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.07,Fc,Calculated data,,
EP,Pesticides,212,Syrian Arab Republic,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.25,Fc,Calculated data,,
